type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:59:26,52.36002588,4.948040452,-2,0.6,92.65,251.4,0.631,2.7,,,
T,13:59:39,52.36001867,4.948053863,-1.8,0.3,178.21,131.4,0.632,1.22,,,
T,13:59:46,52.36004742,4.948028047,-2,1.9,31.96,331.3,0.636,3.65,,,
T,13:59:55,52.36010877,4.948026203,-1.7,2.7,21.97,358.9,0.643,6.83,,,
T,14:00:03,52.36016225,4.948026789,-2.1,2.7,22.41,0.4,0.648,5.95,,,
T,14:00:12,52.3602195,4.948035842,-2,2.6,23.44,5.5,0.655,6.4,,,
T,14:00:19,52.36023333,4.948039362,-1.8,0.8,74.91,8.8,0.656,1.56,,,
T,14:00:29,52.36025018,4.948055036,-1.9,0.8,77.25,29.6,0.659,2.16,,,
T,14:00:40,52.36027071,4.948050007,-2.5,0.8,79.34,351.5,0.661,2.31,,,
T,14:00:49,52.36028697,4.948053779,-2,0.7,82.08,8.1,0.663,1.83,,,
T,14:00:57,52.36033048,4.948049504,-2.3,2.2,27.49,356.6,0.668,4.85,,,
T,14:01:07,52.36041656,4.94804984,-2.3,3.4,17.4,0.1,0.677,9.58,,,
T,14:01:15,52.36048286,4.948040284,-2,3.3,18,355,0.685,7.41,,,
T,14:01:23,52.36052301,4.948060987,-2.2,2.1,28.46,17.5,0.689,4.68,,,
T,14:01:34,52.36055293,4.948074231,-1.2,1.1,53.14,15.1,0.693,3.45,,,
T,14:01:45,52.36057238,4.948067861,-2.1,0.7,83.07,348.7,0.695,2.21,,,
T,14:01:54,52.36057146,4.94807398,-2.2,0.2,349.42,103.9,0.695,0.43,,,
T,14:02:01,52.36058478,4.948070878,-2.1,0.8,77.88,351.9,0.697,1.5,,,
T,14:02:07,52.36062225,4.948070291,-1.9,2.5,23.98,359.5,0.701,4.17,,,
T,14:02:16,52.36068067,4.948119409,-2.1,2.9,20.52,27.2,0.708,7.31,,,
T,14:02:25,52.36071831,4.948144639,-1.3,1.8,33.14,22.3,0.713,4.53,,,
T,14:02:35,52.36079877,4.948172132,-1.8,3.3,18.22,11.8,0.722,9.15,,,
T,14:02:44,52.36087639,4.948202055,-1.7,3.5,16.9,13.2,0.731,8.87,,,
T,14:02:54,52.36096641,4.948217645,-1.2,3.6,16.55,6,0.741,10.07,,,
T,14:03:03,52.36103389,4.948207084,-2.3,3,19.89,354.5,0.748,7.54,,,
T,14:03:13,52.36105962,4.948199457,-1.9,1,57.27,349.7,0.751,2.91,,,
T,14:03:27,52.36106708,4.948205994,-2,0.2,247.69,28.2,0.752,0.94,,,
T,14:03:37,52.36108979,4.948220663,-1.6,1,61.32,21.5,0.755,2.72,,,
T,14:03:45,52.3610882,4.948200379,-1.9,0.6,95.71,262.7,0.756,1.39,,,
T,14:03:53,52.36111108,4.948182525,-1.9,1.3,47.25,334.5,0.759,2.82,,,
T,14:04:02,52.36112617,4.948195014,-1.5,0.8,79.7,26.8,0.761,1.88,,,
T,14:04:20,52.36113363,4.948239019,-1.4,0.6,96.44,74.5,0.764,3.11,,,
T,14:04:30,52.3611167,4.948238768,-1.7,0.7,88.46,180.5,0.766,1.88,,,
