type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:44:46,52.35873641,4.952304326,-7.2,5.3,11.23,31.2,0.086,1.48,,,
T,13:44:47,52.35874521,4.952313881,-7.3,4.2,14.17,33.5,0.087,1.18,,,
T,13:44:48,52.35875686,4.952320922,-7.1,5,12.06,20.3,0.088,1.38,,,
T,13:44:49,52.35877018,4.952328633,-7.8,5.7,10.59,19.5,0.09,1.57,,,
T,13:44:50,52.35878108,4.952343553,-7.3,5.7,10.53,39.9,0.092,1.58,,,
T,13:44:51,52.35879005,4.95236015,-7.1,5.4,11.05,48.5,0.093,1.51,,,
T,13:44:52,52.35880162,4.952369034,-7,5.1,11.72,25.1,0.095,1.42,,,
T,13:44:53,52.35881243,4.952378003,-7.2,4.9,12.35,26.9,0.096,1.35,,,
T,13:44:54,52.35882274,4.95238781,-7.4,4.8,12.55,30.2,0.097,1.33,,,
T,13:44:55,52.35883062,4.952391665,-7.1,3.3,18.21,16.6,0.098,0.92,,,
T,13:44:56,52.3588359,4.952391414,-7.3,2.1,28.35,358.3,0.099,0.59,,,
T,13:44:57,52.35884554,4.952392252,-7.1,3.9,15.52,3,0.1,1.07,,,
T,13:44:58,52.3588556,4.952395437,-6.8,4.1,14.62,10.9,0.101,1.14,,,
T,13:44:59,52.35886498,4.952403316,-6.8,4.2,14.19,27.1,0.102,1.17,,,
T,13:45:00,52.35887454,4.952421756,-7,5.9,10.13,49.7,0.104,1.65,,,
T,13:45:01,52.35888627,4.952440364,-6.6,6.6,9.16,44.1,0.106,1.82,,,
T,13:45:02,52.35890002,4.952449165,-7.1,5.9,10.14,21.4,0.107,1.64,,,
T,13:45:03,52.35891343,4.952456038,-6.9,5.6,10.66,17.4,0.109,1.56,,,
T,13:45:04,52.35892341,4.95246551,-6.7,4.6,12.98,30.1,0.11,1.28,,,
T,13:45:05,52.35893372,4.952477831,-6.4,5.1,11.72,36.1,0.111,1.42,,,
T,13:45:06,52.35894604,4.952486968,-6.4,5.4,11.07,24.4,0.113,1.51,,,
T,13:45:07,52.35895861,4.952496775,-7.1,5.6,10.75,25.5,0.115,1.55,,,
T,13:45:08,52.35897236,4.952506414,-6.8,6,10.01,23.2,0.116,1.66,,,
T,13:45:09,52.35898409,4.952512952,-6.8,5,12.08,18.8,0.118,1.38,,,
T,13:45:10,52.35899432,4.952520412,-6.7,4.5,13.37,24,0.119,1.25,,,
T,13:45:11,52.35900454,4.952528961,-6.6,4.6,13.04,27,0.12,1.28,,,
T,13:45:12,52.35901468,4.952536505,-6.8,4.5,13.44,24.4,0.121,1.24,,,
T,13:45:13,52.35902357,4.952544551,-7,4.1,14.74,28.9,0.122,1.13,,,
T,13:45:14,52.35903195,4.952551676,-7.3,3.8,15.85,27.4,0.124,1.05,,,
T,13:45:15,52.35904134,4.952559052,-7.6,4.2,14.38,25.6,0.125,1.16,,,
T,13:45:16,52.35905157,4.952564165,-6.9,4.3,14.01,17,0.126,1.19,,,
T,13:45:17,52.35906447,4.952573134,-7.3,5.6,10.68,23,0.127,1.56,,,
T,13:45:18,52.3590778,4.952583192,-7.5,5.9,10.2,24.7,0.129,1.63,,,
T,13:45:19,52.35909012,4.952589897,-7.2,5.2,11.53,18.4,0.131,1.45,,,
T,13:45:20,52.3591001,4.952592244,-7.1,4,14.86,8.2,0.132,1.12,,,
T,13:45:21,52.35910881,4.952594172,-7.2,3.5,17.03,7.7,0.133,0.98,,,
T,13:45:22,52.35911912,4.952597274,-6.9,4.2,14.29,10.4,0.134,1.17,,,
T,13:45:23,52.35912801,4.952603308,-7.7,3.9,15.57,22.5,0.135,1.07,,,
T,13:45:24,52.35913631,4.952613367,-7.1,4.1,14.49,36.5,0.136,1.15,,,
T,13:45:25,52.3591431,4.952622587,-7.5,3.5,16.96,39.7,0.137,0.98,,,
T,13:45:26,52.35915039,4.952629544,-7.2,3.4,17.74,30.2,0.138,0.94,,,
T,13:45:27,52.35916128,4.95264153,-6.8,5.3,11.4,33.9,0.139,1.46,,,
T,13:45:28,52.35916631,4.952644128,-8,2.1,28.4,17.5,0.14,0.59,,,
T,13:45:29,52.35916983,4.952651085,-7.7,2.2,27.11,50.4,0.141,0.61,,,
T,13:45:30,52.35917402,4.952657204,-8.2,2.3,26.65,41.7,0.141,0.63,,,
T,13:45:31,52.35917562,4.952660389,-8.3,1,59.49,50.7,0.141,0.28,,,
T,13:45:32,52.35917595,4.952659467,-7.6,0.3,228.13,300.8,0.142,0.07,,,
T,13:45:33,52.35917528,4.952662652,-7.3,0.8,72.63,109,0.142,0.23,,,
T,13:45:34,52.35917755,4.95267095,-6.9,2.2,26.93,65.9,0.142,0.62,,,
T,13:45:35,52.35917989,4.952676902,-7,1.7,34.56,57.1,0.143,0.48,,,
T,13:45:36,52.35917696,4.952671705,-6.8,1.7,34.61,227.3,0.143,0.48,,,
T,13:45:37,52.35917763,4.952668352,-6.6,0.9,69.36,288.1,0.144,0.24,,,
T,13:45:38,52.35917905,4.952670783,-6.9,0.8,72.69,46.2,0.144,0.23,,,
